mem_used;cpu_used;disc_used;date
81;26;41;23/09/2021 13:46
81;20;41;23/09/2021 13:46
81;20;41;23/09/2021 13:46
81;21;41;23/09/2021 13:46
81;21;41;23/09/2021 13:46
81;23;41;23/09/2021 13:46
81;23;41;23/09/2021 13:46
81;23;41;23/09/2021 13:46
81;23;41;23/09/2021 13:46
81;19;41;23/09/2021 13:46
81;19;41;23/09/2021 13:46
81;23;41;23/09/2021 13:46
81;23;41;23/09/2021 13:46
81;31;41;23/09/2021 13:46
81;31;41;23/09/2021 13:46
81;21;41;23/09/2021 13:46
81;21;41;23/09/2021 13:46
81;21;41;23/09/2021 13:46
81;21;41;23/09/2021 13:46
81;27;41;23/09/2021 13:47
81;27;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;22;41;23/09/2021 13:47
81;22;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;21;41;23/09/2021 13:47
81;27;41;23/09/2021 13:47
81;27;41;23/09/2021 13:47
81;22;41;23/09/2021 13:47
81;22;41;23/09/2021 13:47
81;22;41;23/09/2021 13:47
81;23;41;23/09/2021 13:47
80;23;41;23/09/2021 13:47
80;23;41;23/09/2021 13:47
80;21;41;23/09/2021 13:47
80;21;41;23/09/2021 13:47
80;22;41;23/09/2021 13:47
80;23;41;23/09/2021 13:47
81;23;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;22;41;23/09/2021 13:47
81;22;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;24;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;25;41;23/09/2021 13:47
81;20;41;23/09/2021 13:47
81;20;41;23/09/2021 13:47
81;20;41;23/09/2021 13:47
81;20;41;23/09/2021 13:47
81;24;41;23/09/2021 13:48
81;25;41;23/09/2021 13:48
80;20;41;23/09/2021 13:48
80;19;41;23/09/2021 13:48
80;26;41;23/09/2021 13:48
80;26;41;23/09/2021 13:48
80;23;41;23/09/2021 13:48
80;23;41;23/09/2021 13:48
81;23;41;23/09/2021 13:48
81;23;41;23/09/2021 13:48
81;22;41;23/09/2021 13:48
81;21;41;23/09/2021 13:48
80;20;41;23/09/2021 13:48
80;20;41;23/09/2021 13:48
81;19;41;23/09/2021 13:48
81;19;41;23/09/2021 13:48
82;30;41;23/09/2021 13:48
82;30;41;23/09/2021 13:48
81;25;41;23/09/2021 13:48
81;25;41;23/09/2021 13:48
81;25;41;23/09/2021 13:48
81;25;41;23/09/2021 13:48
81;23;41;23/09/2021 13:48
81;23;41;23/09/2021 13:48
81;26;41;23/09/2021 13:48
81;26;41;23/09/2021 13:48
81;22;41;23/09/2021 13:48
81;22;41;23/09/2021 13:48
81;18;41;23/09/2021 13:48
81;18;41;23/09/2021 13:48
81;21;41;23/09/2021 13:48
81;21;41;23/09/2021 13:48
81;20;41;23/09/2021 13:48
81;20;41;23/09/2021 13:48
81;20;41;23/09/2021 13:48
81;20;41;23/09/2021 13:48
80;29;41;23/09/2021 13:48
80;29;41;23/09/2021 13:48
80;22;41;23/09/2021 13:48
80;22;41;23/09/2021 13:48
81;17;41;23/09/2021 13:48
81;17;41;23/09/2021 13:48
81;26;41;23/09/2021 13:48
81;27;41;23/09/2021 13:48
81;24;41;23/09/2021 13:48
81;25;41;23/09/2021 13:48
81;24;41;23/09/2021 13:48
81;24;41;23/09/2021 13:48
81;23;41;23/09/2021 13:48
81;23;41;23/09/2021 13:48
80;22;41;23/09/2021 13:48
80;22;41;23/09/2021 13:48
80;17;41;23/09/2021 13:48
80;17;41;23/09/2021 13:48
80;23;41;23/09/2021 13:48
80;23;41;23/09/2021 13:48
80;23;41;23/09/2021 13:48
80;23;41;23/09/2021 13:48
80;24;41;23/09/2021 13:49
80;24;41;23/09/2021 13:49
80;25;41;23/09/2021 13:49
80;25;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;22;41;23/09/2021 13:49
80;22;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;28;41;23/09/2021 13:49
80;28;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;20;41;23/09/2021 13:49
80;20;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;22;41;23/09/2021 13:49
80;22;41;23/09/2021 13:49
80;23;41;23/09/2021 13:49
80;23;41;23/09/2021 13:49
80;22;41;23/09/2021 13:49
80;22;41;23/09/2021 13:49
80;24;41;23/09/2021 13:49
80;24;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;20;41;23/09/2021 13:49
80;20;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;19;41;23/09/2021 13:49
80;19;41;23/09/2021 13:49
80;20;41;23/09/2021 13:49
80;20;41;23/09/2021 13:49
80;24;41;23/09/2021 13:49
80;23;41;23/09/2021 13:49
80;22;41;23/09/2021 13:49
80;22;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;21;41;23/09/2021 13:49
80;26;41;23/09/2021 13:49
80;26;41;23/09/2021 13:49
81;22;41;23/09/2021 13:49
81;22;41;23/09/2021 13:49
80;14;41;23/09/2021 13:49
80;14;41;23/09/2021 13:49
81;12;41;23/09/2021 13:49
81;12;41;23/09/2021 13:49
78;16;41;23/09/2021 13:49
78;16;41;23/09/2021 13:49
78;9;41;23/09/2021 13:49
78;9;41;23/09/2021 13:49
78;22;41;23/09/2021 13:50
78;22;41;23/09/2021 13:50
78;19;41;23/09/2021 13:50
78;19;41;23/09/2021 13:50
79;21;41;23/09/2021 13:50
78;22;41;23/09/2021 13:50
80;23;41;23/09/2021 13:50
80;23;41;23/09/2021 13:50
82;28;41;23/09/2021 13:50
82;28;41;23/09/2021 13:50
85;31;41;23/09/2021 13:50
85;31;41;23/09/2021 13:50
86;29;41;23/09/2021 13:50
86;29;41;23/09/2021 13:50
87;64;41;23/09/2021 13:50
87;64;41;23/09/2021 13:50
86;60;41;23/09/2021 13:50
86;60;41;23/09/2021 13:50
85;57;41;23/09/2021 13:50
85;57;41;23/09/2021 13:50
88;54;41;23/09/2021 13:50
88;53;41;23/09/2021 13:50
91;31;41;23/09/2021 13:50
91;31;41;23/09/2021 13:50
93;30;41;23/09/2021 13:50
93;30;41;23/09/2021 13:50
94;29;41;23/09/2021 13:50
94;29;41;23/09/2021 13:50
94;19;41;23/09/2021 13:50
94;19;41;23/09/2021 13:50
94;44;41;23/09/2021 13:50
94;45;41;23/09/2021 13:50
95;32;41;23/09/2021 13:50
95;32;41;23/09/2021 13:50
95;25;41;23/09/2021 13:50
95;24;41;23/09/2021 13:50
95;84;41;23/09/2021 13:50
95;84;41;23/09/2021 13:50
96;85;41;23/09/2021 13:50
96;85;41;23/09/2021 13:50
95;62;41;23/09/2021 13:50
95;62;41;23/09/2021 13:50
94;74;41;23/09/2021 13:50
94;74;41;23/09/2021 13:50
93;97;41;23/09/2021 13:50
93;97;41;23/09/2021 13:50
93;89;41;23/09/2021 13:50
93;89;41;23/09/2021 13:50
92;52;41;23/09/2021 13:50
92;52;41;23/09/2021 13:50
92;51;41;23/09/2021 13:50
92;51;41;23/09/2021 13:50
92;53;41;23/09/2021 13:50
92;54;41;23/09/2021 13:50
92;49;41;23/09/2021 13:50
92;49;41;23/09/2021 13:50
92;52;41;23/09/2021 13:51
92;53;41;23/09/2021 13:51
