mem_used,cpu_used,disc_used,date
"77,6,41,""2021-09-23 13:35:33"""
"77,5,41,""2021-09-23 13:35:36"""
"77,5,41,""2021-09-23 13:35:36"""
"77,5,41,""2021-09-23 13:35:38"""
"77,5,41,""2021-09-23 13:35:38"""
"77,6,41,""2021-09-23 13:35:40"""
"77,6,41,""2021-09-23 13:35:40"""
"77,4,41,""2021-09-23 13:35:42"""
"77,4,41,""2021-09-23 13:35:42"""
"77,5,41,""2021-09-23 13:35:44"""
"77,5,41,""2021-09-23 13:35:44"""
"77,6,41,""2021-09-23 13:35:46"""
"77,6,41,""2021-09-23 13:35:46"""
"77,9,41,""2021-09-23 13:35:48"""
"77,9,41,""2021-09-23 13:35:48"""
"77,4,41,""2021-09-23 13:35:50"""
"77,4,41,""2021-09-23 13:35:50"""
"77,4,41,""2021-09-23 13:35:52"""
"77,4,41,""2021-09-23 13:35:52"""
"77,8,41,""2021-09-23 13:35:54"""
"77,8,41,""2021-09-23 13:35:54"""
"77,6,41,""2021-09-23 13:35:57"""
"77,6,41,""2021-09-23 13:35:57"""
"77,4,41,""2021-09-23 13:35:59"""
"77,4,41,""2021-09-23 13:35:59"""
"77,5,41,""2021-09-23 13:36:01"""
"77,6,41,""2021-09-23 13:36:01"""
"77,6,41,""2021-09-23 13:36:03"""
"77,5,41,""2021-09-23 13:36:03"""
"77,5,41,""2021-09-23 13:36:05"""
"77,4,41,""2021-09-23 13:36:05"""
"77,4,41,""2021-09-23 13:36:07"""
"77,4,41,""2021-09-23 13:36:07"""
"77,4,41,""2021-09-23 13:36:09"""
"77,4,41,""2021-09-23 13:36:09"""
"77,4,41,""2021-09-23 13:36:11"""
"77,4,41,""2021-09-23 13:36:11"""
"78,4,41,""2021-09-23 13:36:13"""
"78,4,41,""2021-09-23 13:36:13"""
"78,6,41,""2021-09-23 13:36:15"""
"78,6,41,""2021-09-23 13:36:15"""
"78,6,41,""2021-09-23 13:36:18"""
"78,6,41,""2021-09-23 13:36:18"""
"77,8,41,""2021-09-23 13:36:20"""
"77,8,41,""2021-09-23 13:36:20"""
"77,6,41,""2021-09-23 13:36:22"""
"77,6,41,""2021-09-23 13:36:22"""
"77,5,41,""2021-09-23 13:36:24"""
"77,5,41,""2021-09-23 13:36:24"""
"77,5,41,""2021-09-23 13:36:26"""
"77,5,41,""2021-09-23 13:36:26"""
"77,5,41,""2021-09-23 13:36:28"""
"77,5,41,""2021-09-23 13:36:28"""
"77,6,41,""2021-09-23 13:36:30"""
"77,6,41,""2021-09-23 13:36:30"""
"77,5,41,""2021-09-23 13:36:32"""
"77,5,41,""2021-09-23 13:36:32"""
"77,6,41,""2021-09-23 13:36:34"""
"77,6,41,""2021-09-23 13:36:34"""
"77,5,41,""2021-09-23 13:36:37"""
"77,5,41,""2021-09-23 13:36:37"""
"77,5,41,""2021-09-23 13:36:39"""
"77,5,41,""2021-09-23 13:36:39"""
"77,5,41,""2021-09-23 13:36:41"""
"77,5,41,""2021-09-23 13:36:41"""
"77,4,41,""2021-09-23 13:36:43"""
"77,4,41,""2021-09-23 13:36:43"""
